date,observed,trend,seasonal,resid
2020-01-06,187435.87,78610.2157142857,43850.4095355246,64975.24475018969
2020-01-07,137819.91999999995,110591.70714285714,38414.599230450534,-11186.386373307716
2020-01-08,3729.5,110591.70714285714,41795.18525610053,-148657.39239895766
2020-01-09,136302.61,110591.70714285714,67658.82526623465,-41947.9224090918
2020-01-10,308854.05000000005,95949.65000000001,20801.18047695594,192103.21952304407
2020-01-11,0.0,96820.75,-111542.93456672598,14722.184566725977
2020-01-12,0.0,112201.20857142858,-100977.26519854026,-11223.943372888316
2020-01-13,84941.47000000002,99743.5642857143,43850.4095355246,-58652.50382123888
2020-01-14,143917.62000000002,63274.01714285714,38414.599230450534,42229.003626692356
2020-01-15,111392.70999999999,63274.01714285714,41795.18525610053,6323.507601042322
2020-01-16,49099.1,63274.01714285714,67658.82526623465,-81833.74240909179
2020-01-17,53567.219999999994,75184.05428571429,20801.18047695594,-42418.01476267023
2020-01-18,0.0,74035.92857142857,-111542.93456672598,37507.00599529741
2020-01-19,0.0,97770.08571428573,-100977.26519854026,3207.179484254535
2020-01-20,168311.72999999998,106219.82285714286,43850.4095355246,18241.497607332516
2020-01-21,135880.73999999996,120432.48142857144,38414.599230450534,-22966.34065902201
2020-01-22,277531.8100000001,120432.48142857144,41795.18525610053,115304.14331532814
2020-01-23,108247.26000000002,120432.48142857144,67658.82526623465,-79844.04669480606
2020-01-24,153055.83,121228.03428571428,20801.18047695594,11026.615237329766
2020-01-25,0.0,129526.5042857143,-111542.93456672598,-17983.56971898832
2020-01-26,0.0,92492.59999999998,-100977.26519854026,8484.665198540286
2020-01-27,173880.59999999998,84178.18714285712,43850.4095355246,45852.00332161826
2020-01-28,193970.02999999994,70583.53714285712,38414.599230450534,84971.89362669228
2020-01-29,18294.480000000003,70583.53714285712,41795.18525610053,-94084.24239895765
2020-01-30,50046.37,70583.53714285712,67658.82526623465,-88195.99240909176
2020-01-31,57893.28000000001,201126.01428571422,20801.18047695594,-164033.91476267017
